date,year,quarter,t,RRP,d_RRP,cpi_national,real_gdp_growth,lending_rate,d_lending_rate,region,property_type,beta_rrp,base_qoq_drift,idio_sd,unit_id,lag1_d_RRP,lag2_d_RRP,lag4_d_RRP,shock,dln_RPPI,RPPI,RRP_lag1,d_RRP_lag1,RRP_lag2,d_RRP_lag2,RRP_lag4,d_RRP_lag4,REL_growth
2018-01-01,2018,1,1,3.0,,4.0,6.3,6.1,,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,,,,-1.4099171833901556,-0.0010366718339015568,99.8963865324709,,,,,,,7.3221465147291624
2018-04-01,2018,2,2,3.25,0.25,4.698872845779609,4.806563547461692,6.2305049264677885,0.13050492646778888,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,,,,-0.6832083681913178,0.00588003950211884,100.48551157324759,3.0,,,,,,1.2109196744141815
2018-07-01,2018,3,3,4.0,0.75,4.730570586841166,4.8873232065108665,6.735777588582047,0.5052726621142583,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.25,,,1.027935698426216,0.020656274362756088,102.58275390558931,3.25,0.25,3.0,,,,2.902124372231275
2018-10-01,2018,4,4,4.75,0.75,5.091996451668118,5.530432015109393,7.2225004240703425,0.48672283548829576,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.75,0.25,,0.7347836550577534,0.012136847491743992,103.83537118128542,4.0,0.75,3.25,0.25,,,0.3557709727036013
2019-01-01,2019,1,5,4.75,0.0,3.8,6.013447902928668,7.583413704341121,0.3609132802707782,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.75,0.75,,-0.5531001849908614,-0.0033234588863103633,103.49085140997994,4.75,0.75,4.0,0.75,3.0,,-1.2496125802928941
2019-04-01,2019,2,6,4.5,-0.25,3.7235016875778957,6.661147271372238,7.634787468050925,0.05137376370980462,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.75,0.25,-0.8720957329386361,0.0008315234036515961,103.57694226331036,4.75,0.0,4.75,0.75,3.25,0.25,-1.3310121215113533
2019-07-01,2019,3,7,4.25,-0.25,3.9943571127668194,7.805844480091282,7.537843258505781,-0.09694420954514449,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.25,0.0,0.75,0.39398285982637665,0.019940327412128044,105.66302991833838,4.5,-0.25,4.75,0.0,4.0,0.75,1.8542722221129928
2019-10-01,2019,4,8,4.0,-0.25,3.465760800501286,7.687624841235176,7.3750989855478455,-0.16274427295793537,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.25,-0.25,0.75,1.3964799363090585,0.03094988691870416,108.98442197544584,4.25,-0.25,4.5,-0.25,4.75,0.75,-2.517008747858428
2020-01-01,2020,1,9,3.75,-0.25,2.2,-0.7,7.080623865444629,-0.2944751201032165,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.25,-0.25,0.0,1.0140935372528705,0.023600935372528706,111.58714885991215,4.0,-0.25,4.25,-0.25,4.75,0.0,-1.1826619212412606
2020-04-01,2020,2,10,2.75,-1.0,1.7330332722498218,-7.045966067955906,6.371889144048662,-0.7087347213959667,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.25,-0.25,-0.25,2.709918424178307,0.03803935694797455,115.91361862513862,3.75,-0.25,4.0,-0.25,4.5,-0.25,-9.458267354150363
2020-07-01,2020,3,11,2.25,-0.5,2.5678852409948902,-9.035904447482224,5.787256106512813,-0.5846330375358493,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-1.0,-0.25,-0.25,-0.8017189617840096,0.009552211786652534,117.02615519224405,2.75,-1.0,3.75,-0.25,4.25,-0.25,-12.185808338137917
2020-10-01,2020,4,12,2.0,-0.25,2.3389100339341686,-6.488040260447374,5.461117392223406,-0.32613871428940655,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.5,-1.0,-0.25,-0.5122933597370919,0.012145724315141564,118.45618943200888,2.25,-0.5,2.75,-1.0,4.0,-0.25,-9.424331153122157
2021-01-01,2021,1,13,2.0,0.0,2.9599481726530636,3.5,5.25489088741875,-0.20622650480465676,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,-0.25,-0.5,-0.25,-1.699868826741394,-0.0005482038156180202,118.39126909339323,2.0,-0.25,2.25,-0.5,3.75,-0.25,-3.2116793888351234
2021-04-01,2021,2,14,2.0,0.0,2.89306308425626,3.321313221938798,5.206473545540003,-0.048417341878746356,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,-0.25,-1.0,-0.6498117315617876,0.00630279406788605,119.13982138937824,2.0,0.0,2.0,-0.25,2.75,-1.0,0.6028822496548818
2021-07-01,2021,3,15,2.0,0.0,2.8277963531994934,3.0301866116687646,5.180745300541072,-0.025728244998931338,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.0,-0.5,0.772500657491687,0.019209665460252504,121.45058090227963,2.0,0.0,2.0,0.0,2.25,-0.5,-0.47333647918058164
2021-10-01,2021,4,16,2.0,0.0,2.6336316855425452,6.00416389559609,5.044770684415611,-0.1359746161254609,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.0,-0.25,-0.12231920928117547,0.011318458873699542,122.8330231066222,2.0,0.0,2.0,0.0,2.0,-0.25,4.105501314078522
2022-01-01,2022,1,17,2.0,0.0,3.0,8.2,5.039231316423039,-0.005539367992572153,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.0,0.0,-3.1097951536207984,-0.017622951536207986,120.68730516739352,2.0,0.0,2.0,0.0,2.0,0.0,9.996110411596238
2022-04-01,2022,2,18,2.5,0.5,4.234248869877067,6.371201634503846,5.393558958301544,0.3543276418785055,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.0,0.0,0.45860815830951135,0.017745556856997177,122.84808401207839,2.0,0.0,2.0,0.0,2.0,0.0,5.84383026756432
2022-07-01,2022,3,19,3.75,1.25,4.469159250277384,7.09681390411188,6.236073272757313,0.8425143144557685,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.5,0.0,0.0,3.23246484630101,0.041076701452135274,127.99935234990176,2.5,0.5,2.0,0.0,2.0,0.0,7.306025053507797
2022-10-01,2022,4,20,5.0,1.25,5.0896345976435615,7.010877457639748,7.229721678988704,0.9936484062313911,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,1.25,0.5,0.0,-0.6878847849099442,-0.007472878423191468,127.04639385776082,3.75,1.25,2.5,0.5,2.0,0.0,-6.473151122440552
2023-01-01,2023,1,21,5.75,0.75,8.0,5.5,8.070966842960146,0.8412451639714424,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,1.25,1.25,0.0,0.7202919116592159,0.003352919116592159,127.47308507124302,5.0,1.25,3.75,1.25,2.0,0.0,-6.143551801242978
2023-04-01,2023,2,22,6.25,0.5,8.155429552863874,6.374844613584793,8.738674988065059,0.6677081451049123,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.75,1.25,0.5,0.37360556501653075,0.005010751246118768,128.1134239407225,5.75,0.75,5.0,1.25,2.5,0.5,1.0602326606424333
2023-07-01,2023,3,23,6.25,0.0,6.667742416294605,6.744282989543375,9.042506761018442,0.3038317729533837,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.5,0.75,1.25,0.5394708422047043,0.01111163726801419,129.54491219723508,6.25,0.5,5.75,0.75,3.75,1.25,-1.831560561559774
2023-10-01,2023,4,24,6.5,0.25,6.237253959575014,6.443976500689383,9.407545459031587,0.36503869801314437,AONCR,Condominium,-0.95,0.95,1.35,AONCR_Condominium,0.0,0.5,1.25,-0.737324442382908,0.004039422951801941,130.069257201501,6.25,0.0,6.25,0.5,5.0,1.25,-4.403447880140119
