h,property_type,beta,se,ci_low,ci_high,irf_pct,irf_ci_low,irf_ci_high
0,Single-Detached,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Duplex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Townhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Condominium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Single-Detached,-0.0046599804399406475,0.004705916017438143,-0.013883575834119408,0.004563614954238113,-0.46599804399406475,-1.3883575834119408,0.45636149542381127
1,Duplex,-0.004687247771855268,0.0029524304371011754,-0.01047401142857357,0.001099515884863035,-0.46872477718552685,-1.047401142857357,0.1099515884863035
1,Townhouse,-0.0085441648239436,0.0013203027150158618,-0.011131958145374689,-0.005956371502512512,-0.8544164823943601,-1.113195814537469,-0.5956371502512512
1,Condominium,-0.016036467890025746,0.0012514452575881556,-0.01848930059489853,-0.01358363518515296,-1.6036467890025747,-1.848930059489853,-1.358363518515296
2,Single-Detached,-0.00377255032694644,0.0072084019644554145,-0.01790101817727905,0.010355917523386172,-0.377255032694644,-1.790101817727905,1.035591752338617
2,Duplex,-0.004609336232935122,0.006248726180225443,-0.01685683954617699,0.007638167080306746,-0.46093362329351223,-1.6856839546176992,0.7638167080306746
2,Townhouse,-0.00981541142702931,0.002617398888831081,-0.01494551324913823,-0.004685309604920392,-0.981541142702931,-1.494551324913823,-0.4685309604920392
2,Condominium,-0.02451153290882769,0.003307611517121615,-0.030994451482386054,-0.018028614335269325,-2.451153290882769,-3.0994451482386056,-1.8028614335269324
3,Single-Detached,-0.0013035837811575185,0.009984416577372103,-0.02087304027280684,0.018265872710491803,-0.13035837811575185,-2.087304027280684,1.8265872710491804
3,Duplex,-0.0030079488212270585,0.008584285965556208,-0.019833149313717227,0.01381725167126311,-0.30079488212270583,-1.9833149313717227,1.381725167126311
3,Townhouse,-0.00624760803915761,0.005261741677326786,-0.01656062172671811,0.004065405648402891,-0.624760803915761,-1.656062172671811,0.40654056484028905
3,Condominium,-0.027391930905549526,0.004709727061879975,-0.036622995946834276,-0.018160865864264776,-2.7391930905549526,-3.662299594683428,-1.8160865864264777
4,Single-Detached,-0.0054971390847209384,0.011451272154493885,-0.02794163250752895,0.016947354338087077,-0.5497139084720939,-2.794163250752895,1.6947354338087077
4,Duplex,-0.010448345408093532,0.008633395140000234,-0.02736979988249399,0.006473109066306926,-1.0448345408093533,-2.736979988249399,0.6473109066306927
4,Townhouse,-0.010841214998263644,0.006916634984700119,-0.02439781956827588,0.00271538957174859,-1.0841214998263644,-2.439781956827588,0.271538957174859
4,Condominium,-0.03305293729702393,0.009965333472602927,-0.05258499090332566,-0.013520883690722196,-3.305293729702393,-5.258499090332566,-1.3520883690722196
5,Single-Detached,-0.0007867703609407946,0.011538123071680211,-0.02340149158143401,0.02182795085955242,-0.07867703609407946,-2.340149158143401,2.182795085955242
5,Duplex,-0.012839907372849856,0.00979701445665143,-0.03204205570788666,0.006362240962186946,-1.2839907372849857,-3.204205570788666,0.6362240962186947
5,Townhouse,-0.008313492340038697,0.008321965168056252,-0.02462454406942895,0.007997559389351556,-0.8313492340038697,-2.462454406942895,0.7997559389351556
5,Condominium,-0.027977137057554554,0.018282358377698572,-0.06381055947784375,0.007856285362734649,-2.7977137057554553,-6.381055947784375,0.7856285362734649
6,Single-Detached,-0.0018826223790585654,0.011242033073595798,-0.02391700720330633,0.020151762445189198,-0.18826223790585653,-2.391700720330633,2.0151762445189196
6,Duplex,-0.021264593119098923,0.011661631685141982,-0.04412139122197721,0.00159220498377936,-2.1264593119098922,-4.412139122197721,0.159220498377936
6,Townhouse,-0.00827539287716168,0.008852106091282688,-0.025625520816075747,0.009074735061752388,-0.8275392877161679,-2.5625520816075746,0.9074735061752388
6,Condominium,-0.02120524551791544,0.024138803220495917,-0.06851729983008743,0.026106808794256555,-2.120524551791544,-6.8517299830087435,2.6106808794256553
7,Single-Detached,0.0002977565994146296,0.009628471486095108,-0.018574047513331783,0.01916956071216104,0.029775659941462963,-1.8574047513331784,1.916956071216104
7,Duplex,-0.02471294822205928,0.012145857978345317,-0.0485188298596161,-0.0009070665845024584,-2.471294822205928,-4.85188298596161,-0.09070665845024584
7,Townhouse,-0.004806978261552505,0.011571719108695273,-0.027487547714595238,0.017873591191490228,-0.48069782615525053,-2.7487547714595237,1.7873591191490228
7,Condominium,-0.016942118870475125,0.02643694155129199,-0.06875852431100743,0.03487428657005717,-1.6942118870475125,-6.875852431100743,3.4874286570057174
8,Single-Detached,-0.001003416279972566,0.011069472100354487,-0.02269958159666736,0.02069274903672223,-0.1003416279972566,-2.269958159666736,2.069274903672223
8,Duplex,-0.027922003937942683,0.011969866791950397,-0.05138294285016546,-0.0044610650257199055,-2.792200393794268,-5.138294285016546,-0.4461065025719906
8,Townhouse,-0.0017855033062008493,0.013624758988588611,-0.028490030923834526,0.024919024311432825,-0.17855033062008493,-2.8490030923834526,2.4919024311432825
8,Condominium,-0.01251202978999922,0.021703706576010864,-0.05505129467898051,0.030027235098982072,-1.251202978999922,-5.505129467898051,3.0027235098982072
